,User,Compound,Negative,Neutral,Positive,Time Stamp,Tweets Ago
0,@CNN,-0.5423,0.821,0.179,0.0,Thu Jun 14 05:50:06 +0000 2018,0
1,@CNN,-0.296,0.891,0.109,0.0,Thu Jun 14 05:46:00 +0000 2018,1
2,@CNN,-0.0686,0.698,0.163,0.14,Thu Jun 14 05:31:07 +0000 2018,2
3,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 05:16:00 +0000 2018,3
4,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 05:01:04 +0000 2018,4
5,@CNN,0.34,0.893,0.0,0.107,Thu Jun 14 04:46:00 +0000 2018,5
6,@CNN,0.5719,0.778,0.0,0.222,Thu Jun 14 04:31:04 +0000 2018,6
7,@CNN,0.2023,0.899,0.0,0.101,Thu Jun 14 04:16:00 +0000 2018,7
8,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 04:08:00 +0000 2018,8
9,@CNN,-0.34,0.726,0.165,0.109,Thu Jun 14 04:01:03 +0000 2018,9
10,@CNN,-0.5423,0.837,0.163,0.0,Thu Jun 14 03:53:30 +0000 2018,10
11,@CNN,-0.5106,0.837,0.163,0.0,Thu Jun 14 03:46:06 +0000 2018,11
12,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 03:31:07 +0000 2018,12
13,@CNN,-0.7964,0.649,0.351,0.0,Thu Jun 14 03:16:09 +0000 2018,13
14,@CNN,-0.3612,0.865,0.135,0.0,Thu Jun 14 03:01:07 +0000 2018,14
15,@CNN,-0.0516,0.629,0.189,0.182,Thu Jun 14 02:54:45 +0000 2018,15
16,@CNN,-0.0258,0.773,0.116,0.112,Thu Jun 14 02:53:06 +0000 2018,16
17,@CNN,-0.7717,0.717,0.283,0.0,Thu Jun 14 02:49:08 +0000 2018,17
18,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 02:46:03 +0000 2018,18
19,@CNN,-0.3818,0.667,0.221,0.113,Thu Jun 14 02:41:38 +0000 2018,19
20,@CNN,-0.296,0.885,0.115,0.0,Thu Jun 14 02:35:11 +0000 2018,20
21,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 02:25:22 +0000 2018,21
22,@CNN,0.101,0.741,0.141,0.118,Thu Jun 14 02:20:29 +0000 2018,22
23,@CNN,0.5267,0.855,0.0,0.145,Thu Jun 14 02:16:07 +0000 2018,23
24,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 02:09:12 +0000 2018,24
25,@CNN,-0.4404,0.822,0.178,0.0,Thu Jun 14 02:01:09 +0000 2018,25
26,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 01:56:06 +0000 2018,26
27,@CNN,-0.0258,0.746,0.128,0.125,Thu Jun 14 01:52:07 +0000 2018,27
28,@CNN,-0.6908,0.562,0.326,0.112,Thu Jun 14 01:51:04 +0000 2018,28
29,@CNN,-0.4767,0.773,0.227,0.0,Thu Jun 14 01:41:03 +0000 2018,29
30,@CNN,-0.4019,0.816,0.184,0.0,Thu Jun 14 01:32:46 +0000 2018,30
31,@CNN,0.7354,0.63,0.063,0.307,Thu Jun 14 01:31:00 +0000 2018,31
32,@CNN,0.6597,0.787,0.0,0.213,Thu Jun 14 01:30:02 +0000 2018,32
33,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 01:28:51 +0000 2018,33
34,@CNN,-0.5267,0.855,0.145,0.0,Thu Jun 14 01:23:37 +0000 2018,34
35,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 01:10:10 +0000 2018,35
36,@CNN,-0.7269,0.757,0.243,0.0,Thu Jun 14 01:01:00 +0000 2018,36
37,@CNN,0.3612,0.894,0.0,0.106,Thu Jun 14 00:47:12 +0000 2018,37
38,@CNN,0.4019,0.886,0.0,0.114,Thu Jun 14 00:46:37 +0000 2018,38
39,@CNN,0.6597,0.748,0.0,0.252,Thu Jun 14 00:42:44 +0000 2018,39
40,@CNN,-0.1769,0.677,0.173,0.15,Thu Jun 14 00:31:06 +0000 2018,40
41,@CNN,-0.4588,0.857,0.143,0.0,Thu Jun 14 00:31:00 +0000 2018,41
42,@CNN,0.5423,0.836,0.0,0.164,Thu Jun 14 00:28:15 +0000 2018,42
43,@CNN,0.0,1.0,0.0,0.0,Thu Jun 14 00:24:58 +0000 2018,43
44,@CNN,-0.7269,0.757,0.243,0.0,Thu Jun 14 00:16:46 +0000 2018,44
45,@CNN,-0.3182,0.859,0.141,0.0,Wed Jun 13 23:56:04 +0000 2018,45
46,@CNN,-0.5423,0.811,0.189,0.0,Wed Jun 13 23:52:18 +0000 2018,46
47,@CNN,0.3818,0.88,0.0,0.12,Wed Jun 13 23:51:06 +0000 2018,47
48,@CNN,0.1531,0.914,0.0,0.086,Wed Jun 13 23:42:05 +0000 2018,48
49,@CNN,0.4939,0.862,0.0,0.138,Wed Jun 13 23:37:07 +0000 2018,49
50,@CNN,0.5972,0.787,0.0,0.213,Wed Jun 13 23:35:46 +0000 2018,50
51,@CNN,0.4588,0.87,0.0,0.13,Wed Jun 13 23:31:00 +0000 2018,51
52,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 23:25:00 +0000 2018,52
53,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 23:11:03 +0000 2018,53
54,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 23:01:00 +0000 2018,54
55,@CNN,-0.7906,0.75,0.25,0.0,Wed Jun 13 22:56:25 +0000 2018,55
56,@CNN,-0.3818,0.647,0.224,0.129,Wed Jun 13 22:51:07 +0000 2018,56
57,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:45:39 +0000 2018,57
58,@CNN,0.34,0.893,0.0,0.107,Wed Jun 13 22:45:00 +0000 2018,58
59,@CNN,-0.4019,0.886,0.114,0.0,Wed Jun 13 22:44:49 +0000 2018,59
60,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:41:55 +0000 2018,60
61,@CNN,-0.2732,0.9,0.1,0.0,Wed Jun 13 22:41:04 +0000 2018,61
62,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:36:00 +0000 2018,62
63,@CNN,0.0,1.0,0.0,0.0,Wed Jun 13 22:31:07 +0000 2018,63
