,Closest City name,Closest Country code,Latitude,Longitude,Date,Temperature,Wind speed,Humidity,Cloudiness
0,provideniya,ru,64.42,-173.23,1528351200.0,46.4,3.91,70.0,0.0
1,nantucket,us,41.28,-70.1,1528353300.0,53.6,4.7,93.0,1.0
2,minudasht,ir,37.23,55.37,1528355636.0,84.71,4.25,58.0,0.0
3,north bend,us,43.41,-124.22,1528354560.0,55.4,2.57,82.0,90.0
4,ghanzi,bw,-21.7,21.65,1528355636.0,39.8,5.37,73.0,0.0
5,hofn,is,64.25,-15.21,1528355637.0,48.08,3.69,95.0,8.0
6,winnemucca,us,40.97,-117.74,1528350960.0,73.4,11.41,20.0,1.0
7,kishi,ng,9.08,3.85,1528355638.0,72.47,7.94,93.0,36.0
8,chalus,ir,36.66,51.42,1528351200.0,75.2,6.93,88.0,0.0
9,kutahya,tr,39.42,29.98,1528354200.0,69.8,8.05,60.0,0.0
10,zabol,ir,31.03,61.49,1528351200.0,109.4,33.33,8.0,0.0
11,abu zabad,sd,12.35,29.25,1528355639.0,83.45,4.36,49.0,0.0
12,victoria point,au,-27.58,153.3,1528354800.0,66.2,8.05,63.0,40.0
13,gambela,et,8.25,34.59,1528355640.0,62.57,3.91,100.0,92.0
14,santander,es,43.46,-3.8,1528354800.0,64.4,2.24,88.0,75.0
15,souillac,mu,-20.52,57.52,1528351200.0,82.4,14.99,65.0,40.0
17,mount isa,au,-20.73,139.49,1528354800.0,78.8,8.05,22.0,0.0
18,corumba,br,-19.0,-57.65,1528355641.0,57.53,3.36,100.0,36.0
19,husavik,is,66.04,-17.34,1528351200.0,44.6,8.05,100.0,90.0
21,chokurdakh,ru,70.62,147.9,1528355642.0,36.02,4.59,92.0,8.0
22,tuy hoa,vn,13.08,109.3,1528355643.0,87.14,16.11,77.0,92.0
23,oum hadjer,td,13.3,19.7,1528355643.0,82.91,7.72,45.0,0.0
24,turukhansk,ru,65.8,87.96,1528355643.0,64.55,22.7,68.0,0.0
25,vao,nc,-22.67,167.48,1528355644.0,72.02,23.15,100.0,76.0
26,mexico,us,39.17,-91.88,1528350840.0,73.4,5.26,78.0,0.0
27,middelburg,za,-25.77,29.46,1528355645.0,37.91,5.03,70.0,0.0
29,puerto baquerizo moreno,ec,-0.9,-89.6,1528355645.0,73.46,12.64,97.0,92.0
31,udachnyy,ru,66.42,112.4,1528355646.0,72.11,5.82,43.0,8.0
32,cap malheureux,mu,-19.98,57.61,1528351200.0,82.4,14.99,65.0,40.0
33,belyy yar,ru,53.6,91.39,1528353000.0,75.2,8.95,50.0,0.0
34,cullera,es,39.16,-0.25,1528354800.0,62.6,2.24,72.0,0.0
35,siilinjarvi,fi,63.08,27.67,1528354200.0,44.6,11.41,75.0,90.0
36,snezhnogorsk,ru,69.19,33.23,1528353000.0,41.0,11.18,60.0,40.0
37,qaanaaq,gl,77.48,-69.36,1528355648.0,22.25,6.82,89.0,0.0
38,kuusamo,fi,65.96,29.19,1528354200.0,39.2,9.17,69.0,75.0
39,ransang,ph,8.96,117.58,1528355648.0,86.96,13.76,76.0,48.0
40,aykhal,ru,65.95,111.51,1528355649.0,68.51,8.61,67.0,36.0
41,hobyo,so,5.35,48.53,1528355649.0,81.83,16.55,69.0,0.0
43,karasjok,no,69.47,25.52,1528354200.0,41.0,16.11,67.0,75.0
44,pacific grove,us,36.62,-121.92,1528354500.0,57.2,9.17,87.0,40.0
45,siparia,tt,10.14,-61.51,1528351200.0,77.0,3.36,88.0,20.0
47,bulawayo,zw,-20.16,28.59,1528355651.0,39.98,2.8,79.0,0.0
49,roebourne,au,-20.77,117.15,1528355652.0,74.36,4.14,100.0,92.0
50,bandarbeyla,so,9.49,50.81,1528355652.0,78.41,25.5,83.0,0.0
51,gorontalo,id,0.54,123.06,1528355652.0,83.36,3.91,73.0,48.0
54,port alfred,za,-33.59,26.89,1528355653.0,69.95,12.86,63.0,0.0
55,bintulu,my,3.17,113.03,1528351200.0,93.2,9.17,67.0,75.0
56,guerrero negro,mx,27.97,-114.04,1528355654.0,60.05,8.61,100.0,76.0
57,kombissiri,bf,12.07,-1.34,1528354800.0,78.8,9.17,78.0,0.0
59,viedma,ar,-40.81,-62.99,1528355655.0,47.18,18.12,65.0,44.0
60,talnakh,ru,69.49,88.39,1528355655.0,43.31,17.78,74.0,0.0
61,warwick,au,-28.22,152.03,1528355656.0,57.44,15.43,84.0,0.0
62,samarai,pg,-10.62,150.67,1528355656.0,79.22,15.77,98.0,92.0
63,hithadhoo,mv,-0.6,73.08,1528355656.0,82.46,9.62,100.0,0.0
65,okhotsk,ru,59.36,143.24,1528355657.0,51.68,4.14,68.0,44.0
66,boende,cd,-0.28,20.88,1528355657.0,75.26,2.68,79.0,12.0
67,hermanus,za,-34.42,19.24,1528355658.0,48.26,6.04,66.0,8.0
68,coolum beach,au,-26.53,153.09,1528355658.0,64.46,9.4,100.0,92.0
69,upata,ve,8.02,-62.41,1528355658.0,72.29,4.59,96.0,64.0
73,kalamazoo,us,42.29,-85.59,1528353720.0,64.4,4.7,59.0,90.0
74,axim,gh,4.87,-2.24,1528355660.0,80.3,9.62,100.0,92.0
75,hami,cn,42.84,93.51,1528355660.0,89.75,4.7,24.0,20.0
76,piacabucu,br,-10.41,-36.43,1528355660.0,73.73,3.58,98.0,8.0
77,dudinka,ru,69.41,86.18,1528355661.0,42.05,22.82,81.0,32.0
78,mitu,co,1.2,-70.17,1528355661.0,73.37,2.35,94.0,20.0
79,castro,cl,-42.48,-73.76,1528355661.0,42.41,4.59,95.0,100.0
80,grocka,rs,44.67,20.72,1528354800.0,77.0,4.7,73.0,0.0
81,xai-xai,mz,-25.04,33.64,1528355662.0,70.49,12.64,100.0,92.0
82,vanimo,pg,-2.67,141.3,1528355662.0,83.27,7.94,100.0,64.0
83,tolaga bay,nz,-38.37,178.3,1528355663.0,47.45,17.11,93.0,100.0
84,lloret de mar,es,41.7,2.85,1528354800.0,64.4,6.38,88.0,40.0
85,zhangjiakou,cn,40.77,114.88,1528355664.0,74.99,8.61,35.0,36.0
86,faanui,pf,-16.48,-151.75,1528355664.0,81.56,13.76,100.0,92.0
87,yuanping,cn,38.72,112.71,1528355665.0,76.07,4.59,28.0,0.0
88,ciudad bolivar,ve,8.12,-63.55,1528355665.0,79.85,11.41,77.0,88.0
91,brandon,us,43.59,-96.57,1528354800.0,64.4,13.87,63.0,1.0
92,bathsheba,bb,13.22,-59.52,1528351200.0,78.8,19.46,83.0,40.0
93,gladstone,au,-23.84,151.26,1528355667.0,70.22,18.9,68.0,8.0
94,harper,lr,4.38,-7.71,1528355667.0,76.88,4.14,100.0,88.0
95,bouna,ci,9.27,-3.0,1528355667.0,75.35,5.82,91.0,24.0
97,leningradskiy,ru,69.38,178.42,1528355668.0,31.25,15.88,100.0,68.0
98,kendallville,us,41.44,-85.27,1528353720.0,64.4,8.39,72.0,75.0
99,manuk mangkaw,ph,4.8,119.85,1528355669.0,85.88,11.86,100.0,0.0
100,shakawe,bw,-18.36,21.84,1528355669.0,42.5,8.95,84.0,0.0
101,blackwater,au,-23.58,148.88,1528355669.0,74.99,12.19,30.0,8.0
102,corinth,us,33.15,-97.06,1528354500.0,84.2,6.93,69.0,1.0
103,tongliao,cn,43.61,122.27,1528355670.0,82.01,4.36,52.0,0.0
104,koutsouras,gr,35.03,25.95,1528355671.0,75.98,7.72,90.0,0.0
105,lethem,gy,3.38,-59.8,1528355671.0,74.36,10.4,94.0,76.0
108,taybad,ir,34.74,60.78,1528355672.0,92.45,16.33,24.0,0.0
109,esperance,au,-33.86,121.89,1528355673.0,62.66,10.07,51.0,12.0
110,yarmouth,ca,43.84,-66.12,1528354800.0,41.0,2.24,100.0,20.0
111,christchurch,nz,-43.53,172.64,1528354800.0,48.2,13.87,87.0,32.0
112,say,ne,13.1,2.36,1528354800.0,86.0,6.93,58.0,0.0
113,porto novo,cv,17.02,-25.06,1528354800.0,71.6,11.41,83.0,20.0
114,vila velha,br,-3.71,-38.6,1528354800.0,78.8,6.93,88.0,75.0
115,pevek,ru,69.7,170.27,1528355675.0,31.25,11.41,97.0,56.0
117,santa cruz,cr,10.26,-85.58,1528351200.0,77.0,4.7,83.0,0.0
118,bethel,us,60.79,-161.76,1528354380.0,57.2,16.11,71.0,1.0
119,kaeo,nz,-35.1,173.78,1528355677.0,49.07,14.09,67.0,0.0
120,joshimath,in,30.57,79.57,1528355677.0,42.14,0.89,62.0,8.0
